clip,frame,t_sec,people,team_blue,team_red,goalkeepers
4,23,2.3,14,7,7,1
4,24,2.4,13,6,7,1
4,25,2.5,13,6,7,1
4,26,2.6,13,6,7,1
4,27,2.7,13,6,7,1
4,28,2.8,14,6,8,1
4,29,2.9,14,6,8,1
4,30,3.0,14,6,8,1
4,31,3.1,14,6,8,1
4,32,3.2,14,6,8,1
4,33,3.3,14,6,8,1
4,34,3.4,14,6,8,1
4,35,3.5,14,6,8,1
4,36,3.6,14,6,8,1
4,37,3.7,14,6,8,1
4,38,3.8,14,6,8,1
4,39,3.9,14,6,8,1
4,40,4.0,14,6,8,1
4,41,4.1,13,6,7,1
4,42,4.2,13,6,7,1
4,43,4.3,13,6,7,1
4,44,4.4,13,6,7,1
4,45,4.5,13,6,7,1
4,46,4.6,13,6,7,1
4,47,4.7,13,6,7,1
4,48,4.8,13,6,7,1
4,49,4.9,14,6,8,1
5,0,0.0,7,2,5,0
5,1,0.1,7,2,5,0
5,2,0.2,7,2,5,0
5,3,0.3,7,2,5,0
5,4,0.4,7,2,5,0
5,5,0.5,7,2,5,0
5,6,0.6,7,2,5,0
5,7,0.7,7,2,5,0
5,8,0.8,8,3,5,0
5,9,0.9,10,4,6,0
5,10,1.0,10,4,6,0
5,11,1.1,10,4,6,0
5,12,1.2,11,5,6,0
5,13,1.3,11,5,6,0
5,14,1.4,11,5,6,0
5,15,1.5,11,5,6,0
5,16,1.6,11,5,6,0
5,17,1.7,12,6,6,0
5,18,1.8,12,6,6,0
5,19,1.9,12,6,6,0
5,20,2.0,13,7,6,0
5,21,2.1,14,7,7,0
5,22,2.2,14,7,7,0
5,23,2.3,14,7,7,0
5,24,2.4,14,7,7,0
5,25,2.5,14,7,7,0
5,26,2.6,14,7,7,0
5,27,2.7,14,7,7,0
5,28,2.8,14,7,7,0
5,29,2.9,14,7,7,0
5,30,3.0,14,7,7,0
5,31,3.1,14,7,7,0
5,32,3.2,14,7,7,0
5,33,3.3,14,7,7,0
5,34,3.4,14,7,7,0
5,35,3.5,14,7,7,0
5,36,3.6,14,7,7,0
5,37,3.7,15,7,8,0
5,38,3.8,15,7,8,0
5,39,3.9,15,7,8,0
5,40,4.0,15,7,8,0
5,41,4.1,16,8,8,0
5,42,4.2,17,8,9,0
5,43,4.3,17,8,9,0
5,44,4.4,17,8,9,0
5,45,4.5,17,8,9,0
5,46,4.6,17,8,9,0
5,47,4.7,17,8,9,0
5,48,4.8,17,8,9,0
5,49,4.9,17,8,9,0
6,0,0.0,17,8,9,0
6,1,0.1,17,8,9,0
6,2,0.2,17,8,9,0
6,3,0.3,17,7,10,0
6,4,0.4,17,7,10,0
6,5,0.5,17,7,10,0
6,6,0.6,17,7,10,0
6,7,0.7,17,7,10,0
6,8,0.8,17,7,10,0
6,9,0.9,17,7,10,0
6,10,1.0,17,7,10,0
6,11,1.1,16,6,10,0
6,12,1.2,16,6,10,0
6,13,1.3,16,6,10,0
6,14,1.4,17,7,10,0
6,15,1.5,17,7,10,0
6,16,1.6,17,7,10,0
6,17,1.7,16,7,9,0
6,18,1.8,16,7,9,0
6,19,1.9,15,7,8,0
6,20,2.0,15,7,8,0
6,21,2.1,15,7,8,0
6,22,2.2,15,7,8,0
6,23,2.3,15,7,8,0
6,24,2.4,15,7,8,0
6,25,2.5,14,6,8,0
6,26,2.6,14,6,8,0
6,27,2.7,14,6,8,0
6,28,2.8,14,6,8,0
6,29,2.9,14,6,8,0
6,30,3.0,15,6,9,0
6,31,3.1,15,6,9,0
6,32,3.2,16,7,9,0
6,33,3.3,16,7,9,0
6,34,3.4,16,7,9,0
6,35,3.5,16,7,9,0
6,36,3.6,16,7,9,0
6,37,3.7,16,7,9,0
6,38,3.8,16,7,9,0
6,39,3.9,16,7,9,0
6,40,4.0,16,7,9,0
6,41,4.1,16,7,9,0
6,42,4.2,16,7,9,0
6,43,4.3,16,7,9,0
6,44,4.4,16,7,9,0
6,45,4.5,16,7,9,0
6,46,4.6,16,7,9,0
6,47,4.7,16,7,9,0
6,48,4.8,16,7,9,0
6,49,4.9,16,7,9,0
7,0,0.0,16,7,9,0
7,1,0.1,16,7,9,0
7,2,0.2,17,7,10,0
7,3,0.3,17,7,10,0
7,4,0.4,17,7,10,0
7,5,0.5,17,7,10,0
7,6,0.6,17,7,10,0
7,7,0.7,17,7,10,0
7,8,0.8,18,8,10,0
7,9,0.9,18,9,9,0
7,10,1.0,19,10,9,0
7,11,1.1,19,10,9,0
7,12,1.2,19,10,9,0
7,13,1.3,19,10,9,0
7,14,1.4,19,10,9,0
7,15,1.5,19,10,9,0
7,16,1.6,18,9,9,0
7,17,1.7,19,10,9,0
7,18,1.8,19,10,9,0
7,19,1.9,19,10,9,0
7,20,2.0,18,10,8,0
7,21,2.1,18,10,8,0
7,22,2.2,18,10,8,0
7,23,2.3,18,10,8,0
7,24,2.4,18,10,8,0
7,25,2.5,18,10,8,0
7,26,2.6,19,10,9,0
7,27,2.7,19,10,9,0
7,28,2.8,19,10,9,0
7,29,2.9,19,10,9,0
7,30,3.0,19,10,9,0
7,31,3.1,17,9,8,0
7,32,3.2,18,9,9,0
7,33,3.3,18,9,9,0
7,34,3.4,18,9,9,0
7,35,3.5,18,9,9,0
7,36,3.6,18,9,9,0
7,37,3.7,18,9,9,0
7,38,3.8,19,10,9,0
7,39,3.9,19,10,9,0
7,40,4.0,19,10,9,0
7,41,4.1,19,10,9,0
7,42,4.2,18,9,9,0
7,43,4.3,18,9,9,0
7,44,4.4,18,9,9,0
7,45,4.5,18,9,9,0
7,46,4.6,17,9,8,0
7,47,4.7,17,9,8,0
7,48,4.8,17,9,8,0
7,49,4.9,17,9,8,0
8,0,0.0,17,9,8,0
8,1,0.1,17,9,8,0
8,2,0.2,17,9,8,0
8,3,0.3,17,9,8,0
8,4,0.4,17,9,8,0
8,5,0.5,17,9,8,0
8,6,0.6,17,9,8,0
8,7,0.7,17,9,8,0
8,8,0.8,17,9,8,0
8,9,0.9,17,9,8,0
8,10,1.0,18,9,9,0
8,11,1.1,18,9,9,0
8,12,1.2,18,9,9,0
8,13,1.3,18,9,9,0
8,14,1.4,16,7,9,0
8,15,1.5,16,7,9,0
8,16,1.6,16,7,9,0
8,17,1.7,16,7,9,0
8,18,1.8,16,7,9,0
8,19,1.9,16,7,9,0
8,20,2.0,15,7,8,0
8,21,2.1,15,7,8,0
8,22,2.2,15,7,8,0
8,23,2.3,15,7,8,0
8,24,2.4,15,7,8,0
8,25,2.5,15,6,9,0
8,26,2.6,15,6,9,0
8,27,2.7,15,6,9,0
8,28,2.8,15,6,9,0
8,29,2.9,15,6,9,0
8,30,3.0,15,6,9,0
8,31,3.1,13,6,7,0
8,32,3.2,12,6,6,0
8,33,3.3,12,6,6,0
8,34,3.4,12,6,6,0
8,35,3.5,12,6,6,0
8,36,3.6,12,6,6,0
8,37,3.7,13,6,7,0
8,38,3.8,14,6,8,0
8,39,3.9,14,6,8,0
8,40,4.0,14,6,8,0
8,41,4.1,15,7,8,0
8,42,4.2,15,7,8,0
8,43,4.3,15,7,8,0
8,44,4.4,16,7,9,0
8,45,4.5,17,8,9,0
8,46,4.6,17,8,9,0
8,47,4.7,17,8,9,0
8,48,4.8,18,9,9,0
8,49,4.9,18,9,9,0
9,0,0.0,18,9,9,0
9,1,0.1,17,8,9,0
